општина,конто,опис конта,република ,аутономна покрајина,општина града,ООСО,донације,остали извори,укупно
БАТОЧИНА,483,НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА (5331),0,0,54,0,0,15,69
БАТОЧИНА,484,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАСТАЛУ УСЛЕД ЕЛЕМЕНТАРНИХ НЕПОГОДА ИЛИ ДРУГИХ ПРИРОДНИХ УЗРОКА (5333 + 5334),0,0,0,0,0,0,0
БАТОЧИНА,485,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА (5336),0,0,100,0,0,0,100
БАТОЧИНА,489,РАСХОДИ КОЈИ СЕ ФИНАНСИРАЈУ ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5338),0,0,0,0,0,0,0
БАТОЧИНА,511,ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ (од 5342 до 5345),4906,0,12217,0,1598,326,19047
БАТОЧИНА,512,МАШИНЕ И ОПРЕМА (од 5347 до 5355),592,0,2145,0,1219,407,4363
БАТОЧИНА,513,ОСТАЛЕ НЕКРЕТНИНЕ И ОПРЕМА (5357),0,0,0,0,0,0,0
БАТОЧИНА,514,КУЛТИВИСАНА ИМОВИНА (5359),0,0,0,0,0,0,0
БАТОЧИНА,515,НЕМАТЕРИЈАЛНА ИМОВИНА (5361),0,0,100,0,0,92,192
БАТОЧИНА,521,РОБНЕ РЕЗЕРВЕ (5364),0,0,0,0,0,0,0
БАТОЧИНА,522,ЗАЛИХЕ ПРОИЗВОДЊЕ (од 5366 до 5368),0,0,0,0,0,0,0
БАТОЧИНА,523,ЗАЛИХЕ РОБЕ ЗА ДАЉУ ПРОДАЈУ (5370),0,0,0,0,0,0,0
БАТОЧИНА,531,ДРАГОЦЕНОСТИ (5373),0,0,0,0,0,0,0
БАТОЧИНА,541,ЗЕМЉИШТЕ (5376),0,0,210,0,0,0,210
БАТОЧИНА,542,РУДНА БОГАТСТВА (5378),0,0,0,0,0,0,0
БАТОЧИНА,543,ШУМЕ И ВОДЕ (5380 + 5381),0,0,0,0,0,0,0
БАТОЧИНА,551,НЕФИНАНСИЈСКА ИМОВИНА КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5384),0,0,0,0,0,0,0
БАТОЧИНА,611,ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА (од 5388 до 5396),0,0,6303,0,0,0,6303
БАТОЧИНА,612,ОТПЛАТА ГЛАВНИЦЕ СТРАНИМ КРЕДИТОРИМА (од 5398 до 5404),0,0,0,0,0,0,0
БАТОЧИНА,613,ОТПЛАТА ГЛАВНИЦЕ ПО ГАРАНЦИЈАМА (5406),0,0,0,0,0,0,0
БАТОЧИНА,614,ОТПЛАТА ГЛАВНИЦЕ ЗА ФИНАНСИЈСКИ ЛИЗИНГ (5408),0,0,0,0,0,0,0
